what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894160372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894168695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894184058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894188311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894201302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894202479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894205651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894207292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894209724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894217907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894220508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894232531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894239908
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1327894246226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894246722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894254393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894259853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894277805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894278796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894280936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894288664
